date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:42	8663/8663	---M-Z	200	added ('OK')	text/html	etag:%2221d7-64a600d8da1b3-gzip%22	https://coderthemes.com/paces/bootstrap/auth-sign-in.html	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/auth-sign-in.html	(from )
12:45:42	318/318	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20May%202026%2007:15:42%20GMT	https://coderthemes.com/robots.txt		(from )
12:45:44	133723/133723	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2220a5b-6472b34187c41%22	https://coderthemes.com/paces/bootstrap/assets/images/favicon.ico	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/assets/images/favicon.ico	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:44	1421/1421	---M-Z	200	added ('OK')	application/javascript	etag:%2258d-6472b3419d401-gzip%22	https://coderthemes.com/paces/bootstrap/assets/js/config.js	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/assets/js/config.js	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:45	4781/4781	---M-Z	200	added ('OK')	application/javascript	etag:%2212ad-648207f6c5e6b-gzip%22	https://coderthemes.com/paces/bootstrap/demo.js	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/demo.js	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:46	501141/501141	---MCZ	200	added ('OK')	text/css	etag:%227a595-64a5f0215cd50-gzip%22	https://coderthemes.com/paces/bootstrap/assets/css/vendors.min.css	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/assets/css/vendors.min.css	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:46	766609/766609	---MCZ	200	added ('OK')	text/css	etag:%22bb291-64a5f0215ae10-gzip%22	https://coderthemes.com/paces/bootstrap/assets/css/app.min.css	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/assets/css/app.min.css	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:47	309879/309879	---M-Z	200	added ('OK')	text/html	etag:%224ba77-64a600d8eca93-gzip%22	https://coderthemes.com/paces/bootstrap/index.html	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/index.html	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:48	23082/23082	---M--	200	added ('OK')	image/png	etag:%225a2a-6472b341937c1%22	https://coderthemes.com/paces/bootstrap/assets/images/logo-black.png	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/assets/images/logo-black.png	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
12:45:48	22287/22287	---M--	200	added ('OK')	image/png	etag:%22570f-6472b341937c1%22	https://coderthemes.com/paces/bootstrap/assets/images/logo.png	C:/My%20Web%20Sites/Sukaina%20gems%20admin/coderthemes.com/paces/bootstrap/assets/images/logo.png	(from https://coderthemes.com/paces/bootstrap/auth-sign-in.html)
